reading_id,sensor_id,city,zone_type,lat,lon,pm25,pm10,no2,co,o3,so2,reading_timestamp
e09c0d8c-7d2f-40d6-89f5-105a44c85897,KHI_IND_001,Karachi,industrial,24.8607,67.0011,120.1781,210.6503,118.8044,6.6039,49.0908,94.452,2026-07-31 15:03:03
3bb25914-0d84-44f0-9e30-1499644ee500,KHI_TRF_002,Karachi,traffic,24.8722,67.0306,84.9614,131.0428,132.4317,7.7901,58.228,40.4111,2026-07-31 13:52:46
9fab667d-9755-4862-b2d5-498c0026ffcd,LHR_IND_001,Lahore,industrial,31.5204,74.3587,57.738,254.9287,114.3939,4.0284,31.1896,55.6631,2026-07-31 22:25:28
4d833d12-b6ba-4573-aa54-86875c77c8e0,LHR_TRF_002,Lahore,traffic,31.5497,74.3436,90.4789,178.5654,89.7182,7.5434,24.077,42.7862,2026-07-31 17:33:01
aff48e4c-f952-43d4-a78b-6d7c5b2e9f0b,ISB_RES_001,Islamabad,residential,33.6844,73.0479,65.2717,80.0698,19.2814,1.5366,40.9303,19.5094,2026-07-31 16:42:06
480a2db9-d5be-4608-9cfb-8540d710abdb,ISB_PRK_002,Islamabad,park,33.7294,73.0931,10.672,24.4205,24.8428,0.2826,35.877,9.3147,2026-08-01 02:19:51
d383ae0f-7ca3-429a-b64a-19f3827e9e2f,PSH_IND_001,Peshawar,industrial,34.0151,71.5249,113.4922,114.615,44.3814,4.3965,51.2661,78.2243,2026-07-31 17:40:56
01114171-fe83-4e57-a924-1f2e7d347f71,PSH_TRF_002,Peshawar,traffic,34.008,71.578,72.8747,102.6473,58.7191,8.849,28.7158,42.6675,2026-08-01 00:28:52
6dfc18b1-ff8f-42e4-8e1f-5427030254f6,MLT_RES_001,Multan,residential,30.1575,71.5249,34.6086,115.9078,24.63,1.8902,44.4242,23.254,2026-07-31 22:50:28
df2cd086-239f-4bcc-8cea-6e8cb8881180,MLT_IND_002,Multan,industrial,30.196,71.4753,135.9678,99.4614,46.2738,3.7091,24.6467,32.0886,2026-07-31 18:34:13
b1be561d-9326-48ad-b499-0b0520c075aa,KHI_IND_001,Karachi,industrial,24.8607,67.0011,105.2707,78.7647,79.8161,2.2412,50.4669,58.7304,2026-07-31 19:40:49
c8d6f118-49aa-4475-9c3a-47c319cb1eab,KHI_TRF_002,Karachi,traffic,24.8722,67.0306,74.8844,120.5927,133.6707,2.9603,19.4024,21.5476,2026-08-01 03:13:06
eb629f8e-24d6-4d13-a325-3c75746ffccb,LHR_IND_001,Lahore,industrial,31.5204,74.3587,173.4193,264.8432,41.434,3.7504,65.4028,98.0842,2026-07-31 16:10:40
e2c57104-0dae-4422-9082-08a122f67ab8,LHR_TRF_002,Lahore,traffic,31.5497,74.3436,65.9248,81.1559,87.5347,9.8545,54.7589,32.7626,2026-07-31 21:15:52
658bdfe1-2d0b-4f57-883c-6ddb2ed0c6ab,ISB_RES_001,Islamabad,residential,33.6844,73.0479,63.0019,41.4585,25.1693,1.1934,42.8563,10.1746,2026-07-31 15:05:51
c66098c6-922b-4ac0-86de-099ac1301cb6,ISB_PRK_002,Islamabad,park,33.7294,73.0931,15.182,48.997,17.3754,0.2335,27.4473,3.5751,2026-07-31 12:38:10
576209c8-52e5-4d89-b5e2-a2ceca0b08aa,PSH_IND_001,Peshawar,industrial,34.0151,71.5249,131.1448,268.6725,99.2705,2.3607,43.1362,60.6765,2026-07-31 16:57:48
9475daf4-9958-4c5a-b1cd-aff88dd2993d,PSH_TRF_002,Peshawar,traffic,34.008,71.578,69.0208,64.25,107.2492,3.1584,63.9684,46.641,2026-07-31 10:41:27
2117c368-a7a1-4aee-b2b5-8233dbb93a93,MLT_RES_001,Multan,residential,30.1575,71.5249,68.1444,38.3712,45.3966,1.7299,49.6523,14.6429,2026-07-31 22:24:31
9cb885e8-d8d3-467a-9ae5-21d5f4527c2d,MLT_IND_002,Multan,industrial,30.196,71.4753,166.9111,125.8652,108.8364,2.0564,56.6167,81.731,2026-07-31 17:58:46
fb31aafc-5650-447e-af87-50b9db5e52c8,KHI_IND_001,Karachi,industrial,24.8607,67.0011,192.2355,141.684,48.6528,1.8817,23.75,75.0358,2026-08-01 06:10:22
437e21c8-4039-4693-b79b-599cfd129b2f,KHI_TRF_002,Karachi,traffic,24.8722,67.0306,95.4983,181.9936,77.7388,4.3094,32.4448,25.2703,2026-08-01 01:59:38
73cbdeff-4974-4c93-bc28-efcddb7c027c,LHR_IND_001,Lahore,industrial,31.5204,74.3587,177.3181,258.7387,109.9282,7.6817,66.9438,81.8938,2026-08-01 07:11:08
f005d7bb-bc84-419f-8b32-a8b0f31c3f42,LHR_TRF_002,Lahore,traffic,31.5497,74.3436,103.6692,123.3141,115.6428,2.8443,36.6758,25.7673,2026-07-31 20:45:36
77dd8b3a-d0c0-46fd-a0b9-6320afb39d18,ISB_RES_001,Islamabad,residential,33.6844,73.0479,40.5163,60.4057,61.1065,1.3499,44.9069,24.7375,2026-08-01 01:45:57
e74df0c6-e6c6-4f75-a747-dbb7b379582b,ISB_PRK_002,Islamabad,park,33.7294,73.0931,19.5672,25.0513,26.6113,1.0362,58.3424,14.1198,2026-07-31 18:26:08
9f0a2a83-38b6-483a-a7c7-2ed90809e250,PSH_IND_001,Peshawar,industrial,34.0151,71.5249,182.9881,243.3646,115.8718,5.1565,55.1118,67.1805,2026-07-31 10:36:45
52526ce3-4228-4cca-8819-b2e05bc816ce,PSH_TRF_002,Peshawar,traffic,34.008,71.578,97.8406,185.7851,106.7095,2.724,19.2959,25.9809,2026-07-31 22:26:31
3a54a412-3eb3-4cb3-909c-9d24396e422e,MLT_RES_001,Multan,residential,30.1575,71.5249,40.4842,99.9611,31.1571,0.9112,44.934,15.6632,2026-07-31 17:30:58
3c06de66-0693-4540-b905-0aa72720a9de,MLT_IND_002,Multan,industrial,30.196,71.4753,192.3472,185.5673,124.0255,7.8956,70.3034,32.1404,2026-07-31 20:21:14
8d60a8ec-d72e-4d5c-a6a3-b89c898c4271,KHI_IND_001,Karachi,industrial,24.8607,67.0011,55.2401,245.2171,73.639,3.5533,62.1535,100.0339,2026-07-31 17:09:34
bb4bb01e-0910-44a0-8fe8-41d2e75169e4,KHI_TRF_002,Karachi,traffic,24.8722,67.0306,136.6936,193.2551,119.3837,9.4195,25.6052,42.7557,2026-08-01 02:48:43
d1e7d588-053e-4d7b-be91-094e3bc9287f,LHR_IND_001,Lahore,industrial,31.5204,74.3587,146.4673,84.5622,82.7388,2.6946,24.312,95.1555,2026-07-31 11:46:13
1a68c423-f4f5-4dad-a180-73a38016340a,LHR_TRF_002,Lahore,traffic,31.5497,74.3436,131.7209,77.1093,125.0924,8.5472,45.9239,21.6673,2026-07-31 16:52:15
f125c7db-5008-4a01-acdc-b4349ab472d8,ISB_RES_001,Islamabad,residential,33.6844,73.0479,57.8061,87.4964,49.7711,0.9046,16.4138,16.8163,2026-07-31 10:06:03
c7e403fe-9638-41dd-aca0-b2eb928b7660,ISB_PRK_002,Islamabad,park,33.7294,73.0931,27.6641,56.5844,20.4883,1.1022,27.2421,7.9599,2026-07-31 18:21:07
ddd0389e-8064-4d19-a953-c7fd2d91e190,PSH_IND_001,Peshawar,industrial,34.0151,71.5249,70.6758,140.8179,88.7641,4.0027,29.6313,44.3229,2026-08-01 06:45:52
fff8bfc5-117f-49bd-8cb0-51f507640338,PSH_TRF_002,Peshawar,traffic,34.008,71.578,97.2507,142.5806,118.4912,7.443,53.1172,27.2654,2026-07-31 23:35:03
2cc160d2-94bb-4e16-a9b2-ad54a06634f0,MLT_RES_001,Multan,residential,30.1575,71.5249,54.4022,112.964,37.3426,2.5535,44.9428,26.5272,2026-08-01 00:58:12
ed71b5d6-81e9-4bea-9343-d93d90094282,MLT_IND_002,Multan,industrial,30.196,71.4753,98.5743,135.4074,37.0761,7.5495,28.1657,25.1902,2026-08-01 02:53:28
ce650cdf-a246-4b24-9f8d-89b7d769e68a,KHI_IND_001,Karachi,industrial,24.8607,67.0011,203.6537,151.8627,94.9989,5.6414,33.1043,31.9608,2026-07-31 10:37:24
1d535e2c-8a88-4fa3-b412-b49bfadab1b9,KHI_TRF_002,Karachi,traffic,24.8722,67.0306,141.5865,189.3228,68.663,5.5146,49.6224,28.2526,2026-07-31 13:33:16
7120a32b-8b1c-42d4-84dc-82f1581e8eef,LHR_IND_001,Lahore,industrial,31.5204,74.3587,190.2737,135.4102,83.762,4.5213,33.1898,70.3708,2026-08-01 05:17:00
31ec7ae3-7f32-4e30-8069-e6cfff88fc08,LHR_TRF_002,Lahore,traffic,31.5497,74.3436,125.1795,115.2597,85.4598,5.9474,53.1084,44.6346,2026-07-31 17:32:27
9f895903-15fb-4daf-8e03-73756cbcd081,ISB_RES_001,Islamabad,residential,33.6844,73.0479,38.6385,66.9707,41.7267,1.3969,10.6341,16.3575,2026-07-31 13:13:09
403f5b54-4f2f-4a81-921c-2eebc6d08b38,ISB_PRK_002,Islamabad,park,33.7294,73.0931,10.3533,47.0792,31.519,0.8104,57.3141,14.3084,2026-07-31 19:15:44
3a361547-d4c2-4ce6-83d1-634a18c2761c,PSH_IND_001,Peshawar,industrial,34.0151,71.5249,73.8181,169.4155,99.7658,7.9981,58.7375,22.7828,2026-07-31 12:49:21
c715b833-1fb6-404d-9a71-5f19faf85ce3,PSH_TRF_002,Peshawar,traffic,34.008,71.578,150.2026,201.9828,137.6119,6.2386,58.7711,10.5114,2026-07-31 21:52:22
f6714297-c21b-43c3-9378-b547b5fc4d0c,MLT_RES_001,Multan,residential,30.1575,71.5249,26.8693,96.2953,50.4859,2.5324,20.7877,26.4956,2026-08-01 08:27:25
ada995d7-3129-4169-bd13-2f8afa4bce5c,MLT_IND_002,Multan,industrial,30.196,71.4753,155.1642,164.8343,88.8524,7.6104,69.7579,66.182,2026-07-31 21:16:29
b8734105-719a-4172-825a-858d920e5c80,KHI_IND_001,Karachi,industrial,24.8607,67.0011,172.797,101.2459,100.8166,8.0605,44.1607,60.2794,2026-08-01 03:01:48
95e70d10-96a2-4f12-959a-e423b4fe088f,KHI_TRF_002,Karachi,traffic,24.8722,67.0306,153.6807,85.3838,58.382,2.0483,46.1948,24.5467,2026-08-01 00:12:32
0f692663-d9e8-4209-9925-2e944f5b51d8,LHR_IND_001,Lahore,industrial,31.5204,74.3587,128.884,253.6871,67.6189,4.3083,56.1998,41.0569,2026-07-31 15:34:43
993f8e2f-8fd7-452b-8231-ac8393c8b031,LHR_TRF_002,Lahore,traffic,31.5497,74.3436,63.9007,141.2955,133.6254,6.1737,44.3695,18.0955,2026-08-01 01:53:09
d2d69151-9bb7-481e-93b3-b9499739d351,ISB_RES_001,Islamabad,residential,33.6844,73.0479,57.9185,75.2102,14.7425,0.7279,18.8866,16.2133,2026-08-01 07:10:49
93c9255f-5344-4f63-83ea-67033a33cfda,ISB_PRK_002,Islamabad,park,33.7294,73.0931,10.9346,33.9973,21.4324,0.5861,40.8026,3.278,2026-08-01 02:07:26
